RoomNumebr,Line ID,Date,Bill,Member
318,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1612.00,4
319,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1546.00,3
320,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1144.00,4
321,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1268.00,3
322,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1821.00,4
323,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1387.00,4
324,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1539.00,3
325,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1095.00,3
326,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1601.00,3
327,xxxxxxxxxxxxxxxxxxxx,9/7/2024,870.00,3
401,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1612.00,4
402,xxxxxxxxxxxxxxxxxxxx,9/7/2024,961.00,3
403,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1569.00,3
404,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1905.00,3
405,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1225.00,4
406,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1818.00,3
407,xxxxxxxxxxxxxxxxxxxx,9/7/2024,893.00,3
408,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1198.00,4
409,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1471.00,4
410,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1823.00,4
411,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1457.00,3
412,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1952.00,4
413,xxxxxxxxxxxxxxxxxxxx,9/7/2024,987.00,3
414,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1066.00,4
415,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1417.00,3
416,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1637.00,3
417,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1989.00,4
418,xxxxxxxxxxxxxxxxxxxx,9/7/2024,852.00,3
419,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1598.00,3
420,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1304.00,4
421,xxxxxxxxxxxxxxxxxxxx,9/7/2024,858.00,3
422,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1570.00,3
423,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1203.00,3
424,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1581.00,4
425,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1651.00,3
426,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1155.00,4
427,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1905.00,4
501,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1443.00,4
502,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1662.00,4
503,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1702.00,3
504,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1186.00,3
505,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1997.00,4
506,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1861.00,4
507,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1421.00,3
508,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1840.00,4
509,xxxxxxxxxxxxxxxxxxxx,9/7/2024,926.00,4
510,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1240.00,3
511,xxxxxxxxxxxxxxxxxxxx,9/7/2024,987.00,4
512,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1184.00,3
513,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1437.00,4
514,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1574.00,3
515,xxxxxxxxxxxxxxxxxxxx,9/7/2024,826.00,3
516,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1243.00,3
517,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1457.00,3
518,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1527.00,4
519,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1771.00,4
520,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1178.00,4
521,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1211.00,3
522,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1216.00,3
523,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1964.00,4
524,xxxxxxxxxxxxxxxxxxxx,9/7/2024,870.00,3
525,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1496.00,3
526,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1798.00,3
527,xxxxxxxxxxxxxxxxxxxx,9/7/2024,1062.00,3
